Year,Production,Song,Context,YouTube-UserID,URL
2012,Cinderacula: Curse of the Brothers Grimm,Hotel California (Eagles); Beautiful (Christina Aguilera),Graduating main cast members perform self-written song.,AveryLaurin,https://www.youtube.com/watch?v=7IUIUpSoRwE
2012,Cinderacula: Curse of the Brothers Grimm,Hotel California (Eagles); Beautiful (Christina Aguilera),Graduating main cast members perform self-written song.,castoners,https://youtu.be/S3m-vZEUDsM?si=ZikvawVhnXneOUoh
