Year,Production,Song,Context,YouTube-UserID,URL
2010,Peter Pan: May the Fairies be With You,Livin' on a Prayer (Bon Jovi); The Star Wars Main Title,Performance,briancordanyoung,https://www.youtube.com/watch?v=auQXB3PsEsA&t=3s
2011,Pinocchio A Bohemian Rhapsody,All Together Now (Beatles); Norwegian Wood (Beatles),Play and songs,briancordanyoung,https://www.youtube.com/watch?v=jUg8mmnitjE
